timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-04-25,72.72,73.73,72.72,73.46,73.46,3665086,0.0,1.0
2018-04-24,71.86,72.94,71.77,72.67,72.67,2343315,0.0,1.0
2018-04-21,72.2,72.57,71.93,72.06,72.06,2148031,0.0,1.0
2018-04-20,72.77,72.78,72.29,72.4,72.4,3139245,0.0,1.0
2018-04-19,72.5,72.68,72.16,72.41,72.41,1826752,0.0,1.0
2018-04-18,72.75,73.21,72.65,72.76,72.76,1905309,0.0,1.0
2018-04-17,73.25,73.55,72.61,72.62,72.62,2001961,0.0,1.0
2018-04-14,73.33,73.42,73.0,73.16,73.16,1251461,0.0,1.0
2018-04-13,73.31,73.62,72.92,73.09,73.09,2959474,0.0,1.0
2018-04-12,74.0,74.3,73.38,73.64,73.64,2523325,0.0,1.0
2018-04-11,73.11,74.5,72.85,74.36,74.36,1945119,0.0,1.0
2018-04-10,73.13,73.92,73.11,73.55,73.55,1313607,0.0,1.0
2018-04-07,73.76,73.83,73.31,73.49,73.49,2268366,0.0,1.0
2018-04-06,72.7,73.92,72.33,73.8,73.8,3530929,0.0,1.0
2018-04-05,72.15,72.8,71.81,72.8,72.8,3646590,0.0,1.0
2018-04-04,71.59,72.43,71.45,72.26,72.26,2576796,0.0,1.0
2018-03-29,72.13,72.76,72.01,72.31,72.31,5292851,0.0,1.0
2018-03-28,72.34,72.4,71.82,71.86,71.86,3132651,0.0,1.0
2018-03-27,72.62,72.87,72.27,72.43,72.43,2576258,0.0,1.0
2018-03-26,72.4,72.65,71.71,72.02,72.02,3114044,0.0,1.0
2018-03-23,74.1,74.16,72.81,72.81,72.81,3617914,0.0,1.0
2018-03-22,75.43,75.44,74.66,74.87,74.87,2530879,0.0,1.0
2018-03-21,75.41,75.83,75.15,75.78,75.78,1926293,0.0,1.0
2018-03-20,74.88,75.58,74.61,75.19,75.19,2354537,0.0,1.0
2018-03-19,75.66,75.98,74.89,74.89,74.89,2364077,0.0,1.0
2018-03-16,75.97,76.25,75.025,75.34,75.34,3791783,0.0,1.0
2018-03-15,77.0,77.0,75.65,75.78,75.78,4006228,0.0,1.0
2018-03-14,76.5,76.64,76.16,76.55,76.55,3068664,0.0,1.0
2018-03-13,77.3,77.41,76.67,77.05,77.05,2990565,0.0,1.0
2018-03-12,77.49,77.66,77.17,77.36,77.36,2828994,0.0,1.0
2018-03-09,76.35,76.95,76.2,76.87,76.87,2944053,0.0,1.0
2018-03-08,75.72,76.2,75.51,76.17,76.17,3278343,0.0,1.0
2018-03-07,75.21,75.68,75.05,75.14,75.14,2458242,0.0,1.0
2018-03-06,75.7,76.05,75.49,75.69,75.69,2280493,0.0,1.0
2018-03-05,75.73,75.73,74.8,75.03,75.03,1541207,0.0,1.0
2018-03-02,75.82,76.2,75.12,75.73,75.73,2447987,0.0,1.0
2018-03-01,76.06,76.39,75.91,76.06,76.06,1695236,0.0,1.0
2018-02-28,76.6,76.89,76.12,76.39,76.39,3744085,0.0,1.0
2018-02-27,77.0,77.24,76.71,76.76,76.76,2736893,0.0,1.0
2018-02-26,75.98,76.6,75.6,76.6,76.6,3450024,0.0,1.0
2018-02-23,75.02,75.68,74.41,75.46,75.46,4526316,0.0,1.0
2018-02-22,74.52,74.8,74.07,74.65,74.65,2473068,0.0,1.0
2018-02-21,74.28,74.65,73.92,74.33,74.33,2210925,0.0,1.0
2018-02-20,74.25,74.38,73.83,74.26,74.26,2238370,0.0,1.0
2018-02-19,74.1,74.59,74.02,74.4,74.4,1449284,0.0,1.0
2018-02-16,74.0,74.89,74.0,74.02,74.02,2222914,0.0,1.0
2018-02-15,74.25,74.29,73.74,73.86,73.86,3596362,0.0,1.0
2018-02-14,74.2,74.3,73.76,73.98,73.98,4217278,0.0,1.0
2018-02-13,76.23,76.74,75.88,76.3,73.4429,3334988,0.0,1.0
2018-02-12,76.39,76.5,75.56,75.88,73.0386,3411170,0.0,1.0
2018-02-09,75.75,76.47,75.48,76.25,73.3948,3621859,0.0,1.0
2018-02-08,76.8,77.21,76.51,76.51,73.645,3493180,0.0,1.0
2018-02-07,78.61,78.96,76.77,76.79,73.9146,5676630,0.0,1.0
2018-02-06,78.44,78.5,76.69,77.4,74.5017,5684063,0.0,1.0
2018-02-05,79.96,80.27,79.52,79.8,76.8118,2393475,0.0,1.0
2018-02-02,79.9,81.18,79.9,80.79,77.7648,2631703,0.0,1.0
2018-02-01,79.0,80.155,78.9,80.01,77.014,2965072,0.0,1.0
2018-01-31,78.76,79.32,78.62,78.87,75.9167,2953798,0.0,1.0
2018-01-30,78.81,79.46,78.75,79.09,76.1284,1702998,0.0,1.0
2018-01-29,78.99,79.54,78.53,79.19,76.2247,2385820,0.0,1.0
2018-01-25,78.46,78.67,78.03,78.65,75.7049,3723004,0.0,1.0
2018-01-24,79.3,79.48,78.65,78.65,75.7049,1923320,0.0,1.0
2018-01-23,79.11,79.58,79.1,79.25,76.2824,2033594,0.0,1.0
2018-01-22,79.7,79.72,78.63,78.85,75.8974,2414568,0.0,1.0
2018-01-19,80.1,80.42,79.83,79.83,76.8407,1557603,0.0,1.0
2018-01-18,80.29,80.5,79.9,79.9,76.9081,2093401,0.0,1.0
2018-01-17,80.21,80.39,79.86,80.11,77.1102,2066964,0.0,1.0
2018-01-16,81.02,81.19,80.5,80.58,77.5626,1518213,0.0,1.0
2018-01-15,81.3,81.415,80.72,81.17,78.1305,1431419,0.0,1.0
2018-01-12,81.38,81.5,80.69,80.88,77.8514,1781313,0.0,1.0
2018-01-11,81.74,81.74,81.08,81.3,78.2557,2791094,0.0,1.0
2018-01-10,82.47,82.66,81.61,81.61,78.5541,1944703,0.0,1.0
2018-01-09,81.99,82.46,81.98,82.19,79.1124,3283522,0.0,1.0
2018-01-08,81.4,81.75,81.3,81.62,78.5637,1293549,0.0,1.0
2018-01-05,80.54,81.25,80.37,81.16,78.1209,2208531,0.0,1.0
2018-01-04,80.48,80.48,79.81,79.97,76.9755,1596303,0.0,1.0
2018-01-03,80.47,80.645,80.06,80.14,77.1391,1349269,0.0,1.0
2018-01-02,80.3,80.33,79.78,80.22,77.2161,1284609,0.0,1.0
2017-12-29,80.6,80.675,80.04,80.34,77.3316,1459457,0.0,1.0
2017-12-28,80.48,80.68,80.33,80.49,77.476,1610000,0.0,1.0
2017-12-27,80.51,80.67,80.03,80.16,77.1584,1054327,0.0,1.0
2017-12-22,80.0,80.68,79.95,80.39,77.3797,5288058,0.0,1.0
2017-12-21,79.95,80.6,79.81,79.81,76.8215,4684411,0.0,1.0
2017-12-20,80.22,80.75,80.22,80.57,77.553,2436692,0.0,1.0
